ESTACION;IP;
EMRI_1;10.83.127.39;
EMRI_2;10.83.127.40;esta ip era de emri 28
EMRI_3;10.83.127.47;
EMRI_4;10.83.127.21;
EMRI_5;10.83.127.38;
EMRI_7;10.83.127.29;
EMRI_8;10.83.127.19;
EMRI_10;10.83.127.27;
EMRI_11;10.83.127.17;
EMRI_13;10.83.127.42;
EMRI_15;10.83.127.44;
EMRI_17;10.83.127.24;
EMRI_18;10.83.127.35;
EMRI_19;10.83.127.43;
EMRI_20;10.83.127.36;
EMRI_21;10.83.127.41;
EMRI_23;10.83.127.22;
EMRI_24;10.83.127.20;
EMRI_25;10.83.127.45;
EMRI_27;10.83.127.46;
EMRI_28;10.83.127.37;esta ip era de emri 34
EMRI_29;10.83.127.34;
EMRI_30;10.83.127.33;
EMRI_32;10.83.127.23;
EMRI_33;10.83.127.31;
EMRI_34;10.83.127.28;esta ip era de emri 2
